category,industry,occupation,count
ARTS,DANCE,DANCER,12
ARTS,DESIGN,ARCHITECT,73
ARTS,DESIGN,COMIC ARTIST,24
ARTS,DESIGN,DESIGNER,16
ARTS,DESIGN,FASHION DESIGNER,10
ARTS,DESIGN,GAME DESIGNER,4
ARTS,FILM AND THEATRE,ACTOR,1193
ARTS,FILM AND THEATRE,COMEDIAN,4
ARTS,FILM AND THEATRE,FILM DIRECTOR,177
ARTS,FINE ARTS,ARTIST,88
ARTS,FINE ARTS,PAINTER,178
ARTS,FINE ARTS,PHOTOGRAPHER,12
ARTS,FINE ARTS,SCULPTOR,21
ARTS,MUSIC,COMPOSER,225
ARTS,MUSIC,CONDUCTOR,11
ARTS,MUSIC,MUSICIAN,381
ARTS,MUSIC,SINGER,437
BUSINESS & LAW,BUSINESS,BUSINESSPERSON,79
BUSINESS & LAW,BUSINESS,PRODUCER,12
BUSINESS & LAW,LAW,LAWYER,17
EXPLORATION,EXPLORERS,ASTRONAUT,32
EXPLORATION,EXPLORERS,EXPLORER,70
HUMANITIES,HISTORY,HISTORIAN,48
HUMANITIES,LANGUAGE,CRITIC,5
HUMANITIES,LANGUAGE,JOURNALIST,19
HUMANITIES,LANGUAGE,LINGUIST,21
HUMANITIES,LANGUAGE,WRITER,955
HUMANITIES,PHILOSOPHY,PHILOSOPHER,281
INSTITUTIONS,GOVERNMENT,DIPLOMAT,36
INSTITUTIONS,GOVERNMENT,JUDGE,9
INSTITUTIONS,GOVERNMENT,NOBLEMAN,116
INSTITUTIONS,GOVERNMENT,POLITICIAN,2529
INSTITUTIONS,GOVERNMENT,PUBLIC WORKER,14
INSTITUTIONS,MILITARY,MILITARY PERSONNEL,223
INSTITUTIONS,MILITARY,PILOT,9
INSTITUTIONS,RELIGION,RELIGIOUS FIGURE,518
PUBLIC FIGURE,ACTIVISM,SOCIAL ACTIVIST,114
PUBLIC FIGURE,COMPANIONS,COMPANION,101
PUBLIC FIGURE,MEDIA PERSONALITY,CELEBRITY,21
PUBLIC FIGURE,MEDIA PERSONALITY,CHEF,2
PUBLIC FIGURE,MEDIA PERSONALITY,MAGICIAN,4
PUBLIC FIGURE,MEDIA PERSONALITY,MODEL,30
PUBLIC FIGURE,MEDIA PERSONALITY,PORNOGRAPHIC ACTOR,11
PUBLIC FIGURE,MEDIA PERSONALITY,PRESENTER,19
PUBLIC FIGURE,OUTLAWS,EXTREMIST,34
PUBLIC FIGURE,OUTLAWS,MAFIOSO,13
PUBLIC FIGURE,OUTLAWS,PIRATE,9
SCIENCE & TECHNOLOGY,COMPUTER SCIENCE,COMPUTER SCIENTIST,34
SCIENCE & TECHNOLOGY,ENGINEERING,ENGINEER,41
SCIENCE & TECHNOLOGY,INVENTION,INVENTOR,67
SCIENCE & TECHNOLOGY,MATH,MATHEMATICIAN,157
SCIENCE & TECHNOLOGY,MATH,STATISTICIAN,4
SCIENCE & TECHNOLOGY,MEDICINE,PHYSICIAN,143
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,ARCHAEOLOGIST,13
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,ASTRONOMER,83
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,BIOLOGIST,141
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,CHEMIST,220
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,GEOLOGIST,10
SCIENCE & TECHNOLOGY,NATURAL SCIENCES,PHYSICIST,268
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,ANTHROPOLOGIST,11
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,ECONOMIST,102
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,GEOGRAPHER,14
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,POLITICAL SCIENTIST,7
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,PSYCHOLOGIST,38
SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,SOCIOLOGIST,15
SPORTS,INDIVIDUAL SPORTS,ATHLETE,74
SPORTS,INDIVIDUAL SPORTS,BOXER,14
SPORTS,INDIVIDUAL SPORTS,CHESSMASTER,30
SPORTS,INDIVIDUAL SPORTS,CYCLIST,29
SPORTS,INDIVIDUAL SPORTS,GOLFER,2
SPORTS,INDIVIDUAL SPORTS,GYMNAST,7
SPORTS,INDIVIDUAL SPORTS,MARTIAL ARTS,7
SPORTS,INDIVIDUAL SPORTS,MOUNTAINEER,5
SPORTS,INDIVIDUAL SPORTS,RACECAR DRIVER,104
SPORTS,INDIVIDUAL SPORTS,SKATER,9
SPORTS,INDIVIDUAL SPORTS,SKIER,17
SPORTS,INDIVIDUAL SPORTS,SNOOKER,3
SPORTS,INDIVIDUAL SPORTS,SWIMMER,20
SPORTS,INDIVIDUAL SPORTS,TENNIS PLAYER,161
SPORTS,INDIVIDUAL SPORTS,WRESTLER,44
SPORTS,TEAM SPORTS,AMERICAN FOOTBALL PLAYER,1
SPORTS,TEAM SPORTS,BASEBALL PLAYER,5
SPORTS,TEAM SPORTS,BASKETBALL PLAYER,71
SPORTS,TEAM SPORTS,COACH,75
SPORTS,TEAM SPORTS,CRICKETER,2
SPORTS,TEAM SPORTS,HOCKEY PLAYER,2
SPORTS,TEAM SPORTS,REFEREE,10
SPORTS,TEAM SPORTS,SOCCER PLAYER,1064
